id,Date,State,Total Confirmed Cases,Total Deaths
1,Sat 12/24,Alabama,1568934,21208
2,Sat 12/24,Alaska,301449,1408
3,Sat 12/24,American Samoa,8266,34
4,Sat 12/24,Arizona,2373361,32038
5,Sat 12/24,Arkansas,981569,12690
6,Sat 12/24,California,11772574,100628
7,Sat 12/24,Colorado,1730237,13857
8,Sat 12/24,Connecticut,943284,11733
9,Sat 12/24,Delaware,320581,3205
10,Sat 12/24,District of Columbia,173626,1411
11,Sat 12/24,Florida,7269428,83606
12,Sat 12/24,Georgia,2888123,39913
13,Sat 12/24,Guam,60727,412
14,Sat 12/24,Hawaii,362117,1755
15,Sat 12/24,Idaho,510661,5316
16,Sat 12/24,Illinois,3960888,40610
17,Sat 12/24,Indiana,1996253,25303
18,Sat 12/24,Iowa,884263,10389
19,Sat 12/24,Kansas,914344,9850
20,Sat 12/24,Kentucky,1650921,17708
21,Sat 12/24,Louisiana,1507707,18345
22,Sat 12/24,Maine,305600,2803
23,Sat 12/24,Maryland,1311672,15985
24,Sat 12/24,Massachusetts,2144967,22793
25,Sat 12/24,Michigan,2968706,40659
26,Sat 12/24,Minnesota,1731172,14273
27,Sat 12/24,Mississippi,951070,13113
28,Sat 12/24,Missouri,1736293,23252
29,Sat 12/24,Montana,322437,3635
30,Sat 12/24,Nebraska,554953,4841
31,Sat 12/24,Nevada,874117,11838
32,Sat 12/24,New Hampshire,366116,2851
33,Sat 12/24,New Jersey,2908733,35446
34,Sat 12/24,New Mexico,657140,8802
35,Sat 12/24,New York,6526059,77546
36,Sat 12/24,North Carolina,3316814,28789
37,Sat 12/24,North Dakota,280043,2469
38,Sat 12/24,Northern Mariana Islands,13236,41
39,Sat 12/24,Ohio,3294521,40949
40,Sat 12/24,Oklahoma,1244121,16041
41,Sat 12/24,Oregon,936721,8953
42,Sat 12/24,Pennsylvania,3403177,48881
43,Sat 12/24,Puerto Rico,1079676,5506
44,Sat 12/24,Rhode Island,443645,3800
45,Sat 12/24,South Carolina,1760204,19368
46,Sat 12/24,South Dakota,271433,3136
47,Sat 12/24,Tennessee,2358463,28262
48,Sat 12/24,Texas,8078548,92628
49,Sat 12/24,Utah,1072888,5177
50,Sat 12/24,Vermont,148031,791
51,Sat 12/24,Virgin Islands,23734,127
52,Sat 12/24,Virginia,2190699,22773
53,Sat 12/24,Washington,1879139,15021
54,Sat 12/24,West Virginia,621614,7786
55,Sat 12/24,Wisconsin,1954481,15826
56,Sat 12/24,Wyoming,182581,1959
57,Sun 12/25,Alabama,1568934,21208
58,Sun 12/25,Alaska,301449,1408
59,Sun 12/25,American Samoa,8266,34
60,Sun 12/25,Arizona,2373361,32038
61,Sun 12/25,Arkansas,981569,12690
62,Sun 12/25,California,11772585,100628
63,Sun 12/25,Colorado,1730237,13857
64,Sun 12/25,Connecticut,944493,11733
65,Sun 12/25,Delaware,320581,3205
66,Sun 12/25,District of Columbia,173626,1411
67,Sun 12/25,Florida,7269428,83606
68,Sun 12/25,Georgia,2888123,39913
69,Sun 12/25,Guam,60727,412
70,Sun 12/25,Hawaii,362117,1755
71,Sun 12/25,Idaho,510661,5316
72,Sun 12/25,Illinois,3960888,40610
73,Sun 12/25,Indiana,1996253,25303
74,Sun 12/25,Iowa,884263,10389
75,Sun 12/25,Kansas,914344,9850
76,Sun 12/25,Kentucky,1650921,17708
77,Sun 12/25,Louisiana,1507707,18345
78,Sun 12/25,Maine,305600,2803
79,Sun 12/25,Maryland,1311672,15985
80,Sun 12/25,Massachusetts,2144967,22793
81,Sun 12/25,Michigan,2968706,40659
82,Sun 12/25,Minnesota,1731172,14273
83,Sun 12/25,Mississippi,951070,13113
84,Sun 12/25,Missouri,1736293,23252
85,Sun 12/25,Montana,322437,3635
86,Sun 12/25,Nebraska,554953,4841
87,Sun 12/25,Nevada,874117,11838
88,Sun 12/25,New Hampshire,366116,2851
89,Sun 12/25,New Jersey,2908733,35446
90,Sun 12/25,New Mexico,657140,8802
91,Sun 12/25,New York,6528288,77546
92,Sun 12/25,North Carolina,3316814,28789
93,Sun 12/25,North Dakota,280043,2469
94,Sun 12/25,Northern Mariana Islands,13236,41
95,Sun 12/25,Ohio,3294521,40949
96,Sun 12/25,Oklahoma,1244121,16041
97,Sun 12/25,Oregon,936721,8953
98,Sun 12/25,Pennsylvania,3403177,48881
99,Sun 12/25,Puerto Rico,1079676,5506
100,Sun 12/25,Rhode Island,443645,3800
101,Sun 12/25,South Carolina,1760204,19368
102,Sun 12/25,South Dakota,271433,3136
103,Sun 12/25,Tennessee,2358463,28262
104,Sun 12/25,Texas,8078548,92628
105,Sun 12/25,Utah,1072888,5177
106,Sun 12/25,Vermont,148031,791
107,Sun 12/25,Virgin Islands,23734,127
108,Sun 12/25,Virginia,2190699,22773
109,Sun 12/25,Washington,1879139,15021
110,Sun 12/25,West Virginia,621614,7786
111,Sun 12/25,Wisconsin,1954481,15826
112,Sun 12/25,Wyoming,182581,1959
113,Mon 12/26,Alabama,1568934,21208
114,Mon 12/26,Alaska,301449,1408
115,Mon 12/26,American Samoa,8266,34
116,Mon 12/26,Arizona,2373361,32038
117,Mon 12/26,Arkansas,981964,12690
118,Mon 12/26,California,11772585,100628
119,Mon 12/26,Colorado,1731721,13859
120,Mon 12/26,Connecticut,944755,11733
121,Mon 12/26,Delaware,320581,3205
122,Mon 12/26,District of Columbia,173626,1411
123,Mon 12/26,Florida,7269428,83606
124,Mon 12/26,Georgia,2888123,39913
125,Mon 12/26,Guam,60727,412
126,Mon 12/26,Hawaii,362117,1755
127,Mon 12/26,Idaho,510661,5316
128,Mon 12/26,Illinois,3960888,40610
129,Mon 12/26,Indiana,1996253,25303
130,Mon 12/26,Iowa,884263,10389
131,Mon 12/26,Kansas,914344,9850
132,Mon 12/26,Kentucky,1650921,17708
133,Mon 12/26,Louisiana,1507707,18345
134,Mon 12/26,Maine,305600,2803
135,Mon 12/26,Maryland,1311672,15985
136,Mon 12/26,Massachusetts,2144967,22793
137,Mon 12/26,Michigan,2968706,40659
138,Mon 12/26,Minnesota,1731172,14273
139,Mon 12/26,Mississippi,951070,13113
140,Mon 12/26,Missouri,1736293,23252
141,Mon 12/26,Montana,322437,3635
142,Mon 12/26,Nebraska,554953,4841
143,Mon 12/26,Nevada,874117,11838
144,Mon 12/26,New Hampshire,366116,2851
145,Mon 12/26,New Jersey,2908733,35446
146,Mon 12/26,New Mexico,657140,8802
147,Mon 12/26,New York,6529668,77546
148,Mon 12/26,North Carolina,3316814,28789
149,Mon 12/26,North Dakota,280043,2469
150,Mon 12/26,Northern Mariana Islands,13236,41
151,Mon 12/26,Ohio,3294521,40949
