id,State,City,Forecast Number,Date,Main Condition,Condition Description,Icon,Low Temperature,High Temperature,Humidity Percentage,Wind MPH,Wind Direction,Rain Inches,Snow Inches,Pressure,Cloud Percent,UTC Timestamp,Timezone Offset
1,Alaska,Anchorage,1,Wed 6/14,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,45.88,54.77,65,9,E,0.23,0,1018,55,1686780000,-28800
2,Alaska,Anchorage,2,Thu 6/15,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,46.83,53.46,60,8,E,0,0,1003,100,1686866400,-28800
3,Alaska,Anchorage,3,Fri 6/16,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,48.02,53.6,63,7,S,0.23,0,1001,99,1686952800,-28800
4,Alaska,Anchorage,4,Sat 6/17,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,50.7,57.76,79,3,S,4.37,0,1017,75,1687039200,-28800
5,Alaska,Anchorage,5,Sun 6/18,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,51.51,59.65,72,4,S,0,0,1018,51,1687125600,-28800
6,Alaska,Fairbanks,1,Wed 6/14,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,44.47,58.87,52,10,SW,0,0,1017,100,1686776400,-28800
7,Alaska,Fairbanks,2,Thu 6/15,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,43.29,69.53,28,11,NE,0,0,1003,23,1686862800,-28800
8,Alaska,Fairbanks,3,Fri 6/16,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,50.27,75.18,27,10,N,0,0,997,85,1686949200,-28800
9,Alaska,Fairbanks,4,Sat 6/17,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,51.33,74.03,37,4,N,6.06,0,1012,96,1687035600,-28800
10,Alaska,Fairbanks,5,Sun 6/18,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,49.78,68.95,54,9,SW,1.14,0,1018,98,1687122000,-28800
11,Alaska,Juneau,1,Wed 6/14,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,44.15,52.5,73,5,N,0.26,0,1022,85,1686772800,-28800
12,Alaska,Juneau,2,Thu 6/15,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,44.49,53.2,71,7,NE,13.63,0,1010,100,1686859200,-28800
13,Alaska,Juneau,3,Fri 6/16,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,45.23,47.55,95,7,E,37.66,0,1008,100,1686945600,-28800
