id,Position,Track Name,Artist,Popularity
1,1,Ella Baila Sola,Eslabon Armado,93
2,2,"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap,95
3,3,WHERE SHE GOES,Bad Bunny,98
4,4,Take Two,BTS,90
5,5,un x100to,Grupo Frontera,100
6,6,Sprinter,Dave,91
7,7,La Bebe - Remix,Yng Lvcas,99
8,8,Flowers,Miley Cyrus,91
9,9,Cupid - Twin Ver.,FIFTY FIFTY,98
10,10,Daylight,David Kushner,98
11,11,As It Was,Harry Styles,93
12,12,Kill Bill,SZA,94
13,13,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",Metro Boomin,89
14,14,TQM,Fuerza Regida,94
15,15,El Cielo,Sky Rompiendo,87
16,16,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,86
17,17,Classy 101,Feid,96
18,18,Cruel Summer,Taylor Swift,94
19,19,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96
20,20,I Wanna Be Yours,Arctic Monkeys,94
21,21,Calm Down (with Selena Gomez),Rema,82
22,22,TQG,KAROL G,96
23,23,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",Metro Boomin,88
24,24,See You Again (feat. Kali Uchis),"Tyler, The Creator",95
25,25,Los del Espacio,LIT killah,88
26,26,Like Crazy,Jimin,93
27,27,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Metro Boomin,88
28,28,Anti-Hero,Taylor Swift,95
29,29,Angels Like You,Miley Cyrus,93
30,30,Die For You (with Ariana Grande) - Remix,The Weeknd,88
31,31,Die For You,The Weeknd,91
32,32,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",Kodak Black,89
33,33,BESO,ROSALÍA,96
34,34,Last Night,Morgan Wallen,89
35,35,I'm Good (Blue),David Guetta,95
36,36,El Azul,Junior H,95
37,37,Yandel 150,Yandel,90
38,38,Starboy,The Weeknd,93
39,39,People,Libianca,93
40,40,I Ain't Worried,OneRepublic,94
41,41,Moonlight,Kali Uchis,88
42,42,Dance The Night (From Barbie The Album),Dua Lipa,91
43,43,Boy's a Liar Pt. 2,PinkPantheress,95
44,44,Another Love,Tom Odell,93
45,45,All My Life (feat. J. Cole),Lil Durk,84
46,46,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,88
47,47,PRC,Peso Pluma,95
48,48,Blank Space,Taylor Swift,82
49,49,La Bachata,Manuel Turizo,87
50,50,golden hour,JVKE,90
