id,Presidency,President,Took office,Left office,Party,Portrait,Home state
1,1.0,George Washington,1789.0,1797.0,Independent,https://upload.wikimedia.org/wikipedia/commons/0/06/%27George_Washington%27_by_Rembrandt_Peale_after_Gilbert_Stuart%2C_De_Young_Museum.JPG,Virginia
2,2.0,John Adams,1797.0,1801.0,Federalist,https://www-tc.pbs.org/wgbh/americanexperience/media/filer_public_thumbnails/filer_public/6c/dc/6cdce016-b640-4a4d-8e86-c35dc982f7e1/adams_dilploma_01.jpg__400x434_q85_crop_subsampling-2_upscale.jpg,Massachusetts
3,3.0,Thomas Jefferson,1801.0,1809.0,Democratic-Republican,https://cdn.britannica.com/s:290x800/01/1801-004-DD835DC1/portrait-Thomas-Jefferson-artist-National-Museum-of.jpg,Virginia
4,4.0,James Madison,1809.0,1817.0,Democratic-Republican,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/James_Madison%28cropped%29%28c%29.jpg/440px-James_Madison%28cropped%29%28c%29.jpg,Virginia
5,5.0,James Monroe,1817.0,1825.0,Democratic-Republican,"https://cdn.britannica.com/s:800x450,c:crop/00/172700-138-8F7FCBAA/overview-James-Monroe.jpg",Virginia
6,6.0,John Quincy Adams,1825.0,1829.0,Democratic-Republican/National Republican,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDg2NDMxMjgyOTEx/john_quincy_adams.jpg,Massachusetts
7,7.0,Andrew Jackson,1829.0,1837.0,Democratic,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDg0ODE5MzU5MDQ5/andrew_jackson.jpg,Tennessee
8,8.0,Martin Van Buren,1837.0,1841.0,Democratic,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/MVanBuren.png/240px-MVanBuren.png,New York
9,9.0,William Henry Harrison,1841.0,1841.0,Whig,https://upload.wikimedia.org/wikipedia/commons/e/ea/William_Henry_Harrison.jpg,Ohio
10,10.0,John Tyler,1841.0,1845.0,Whig,https://cdn.britannica.com/23/8923-050-A82BA4B1/John-Tyler-oil-canvas-George-Healy-National-1859.jpg,Virginia
11,11.0,James K. Polk,1845.0,1849.0,Democratic,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDgxMzI4MTI1MjU3/james_k_polk.jpg,Tennessee
12,12.0,Zachary Taylor,1849.0,1850.0,Whig,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDgwNzkyOTU4Mjgx/zachary_taylor.jpg,Louisiana
13,13.0,Millard Fillmore,1850.0,1853.0,Whig,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDg1ODkyMjQ5MzEx/millard_fillmore.jpg,New York
14,14.0,Franklin Pierce,1853.0,1857.0,Democratic,https://upload.wikimedia.org/wikipedia/commons/2/29/Franklin_Pierce.jpg,New Hampshire
15,15.0,James Buchanan,1857.0,1861.0,Democratic,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Appletons%27_Buchanan_James.jpg/1200px-Appletons%27_Buchanan_James.jpg,Pennsylvania
16,16.0,Abraham Lincoln,1861.0,1865.0,Republican/National Union,https://upload.wikimedia.org/wikipedia/commons/a/ab/Abraham_Lincoln_O-77_matte_collodion_print.jpg,Illinois
17,17.0,Andrew Johnson,1865.0,1869.0,Democratic/National Union,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDg1MDg4MTg3NzIx/andrew_johnson.jpg,Tennessee
18,18.0,Ulysses S. Grant,1869.0,1877.0,Republican,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDgzNzQ0MzcyNDQ3/1867-chromolithograph-of-ulysses-grant-by-fabronius-gurney-son.jpg,Ohio
19,19.0,Rutherford B. Hayes,1877.0,1881.0,Republican,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDg1MzU4NDU4NTkx/rutherford_b_hayes.jpg,Ohio
20,20.0,James A. Garfield,1881.0,1881.0,Republican,https://upload.wikimedia.org/wikipedia/commons/1/1f/James_Abram_Garfield%2C_photo_portrait_seated.jpg,Ohio
21,21.0,Chester A. Arthur,1881.0,1885.0,Republican,https://www.potus.com/wp-content/uploads/21_chester_a_arthur_1_gallery.jpg,New York
22,22.0,Grover Cleveland,1885.0,1889.0,Democratic,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDg3MjM1MTQ3NDg3/grover_cleveland.jpg,New York
23,23.0,Benjamin Harrison,1889.0,1893.0,Republican,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Benjamin_Harrison%2C_head_and_shoulders_bw_photo%2C_1896.jpg/1200px-Benjamin_Harrison%2C_head_and_shoulders_bw_photo%2C_1896.jpg,Indiana
24,24.0,Grover Cleveland (2nd term),1893.0,1897.0,Democratic,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDg3MjM1MTQ3NDg3/grover_cleveland.jpg,New York
25,25.0,William McKinley,1897.0,1901.0,Republican,https://cdn.britannica.com/31/2431-050-C1015257/William-McKinley.jpg,Ohio
26,26.0,Theodore Roosevelt,1901.0,1909.0,Republican,https://upload.wikimedia.org/wikipedia/commons/1/1c/President_Roosevelt_-_Pach_Bros.jpg,New York
