id,State Name,Code Name,Nickname,Website,Admission Year,Admission Number,Capital,Capital Website,Population,Population Rank,Constitution,State Flag,State Seal,Map,Landscape Background,Skyline Background,Area,Median Household Income,Percent in Poverty,Percent of Adult College Graduates
1,Alabama,AL,Yellowhammer State,http://www.alabama.gov,1819.0,22.0,Montgomery,http://www.montgomeryal.gov,4833722.0,23.0,http://alisondb.legislature.state.al.us/alison/default.aspx,//images.code.org/00dabb18b629e99ae0a77c5db2b3d0f9-Flag_of_Alabama.svg.png,//images.code.org/72963ad19370fd54ca8e27673cbb3b61-Seal_of_Alabama.svg.png,//images.code.org/d406eeb0f9a117e948b9b6d32b7a0e75-800px-Alabama_in_United_States.svg.png,//images.code.org/40d1b60c296250d2806cee1526f258a1-800px-MonteSanoStateParkhsval.jpg,"//images.code.org/f9f747b7c78782f5523ef6291e2aa3df-Mobile,_Alabama_Skyline_(2022).jpg",52420.0,46472.0,16.0,24.5
2,Alaska,AK,The Last Frontier,http://alaska.gov,1959.0,49.0,Juneau,http://www.juneau.org,735132.0,47.0,http://www.legis.state.ak.us/basis/folioproxy.asp?url=http://wwwjnu01.legis.state.ak.us/cgi-bin/folioisa.dll/acontxt/query=*/doc/{t1}?,//images.code.org/20b956bfa9399dc1560e9b4980305411-Flag_of_Alaska.svg.png,//images.code.org/2a84d80900fdc499d4fe2bb247df01b5-State_Seal_of_Alaska.svg.png,//images.code.org/9e54bb84a9c097ccd58fab91c1f7f60f-Alaska_in_United_States_(US50).svg.png,"//images.code.org/8644483b6f6d5fa2f1a522dd2cf1f3cf-Parque_estatal_Chugach,_Alaska,_Estados_Unidos,_2017-08-22,_DD_94.jpg",//images.code.org/74992891719b1739ebe5d423a55f54bf-800px-Anchorage_Alaska_(149058475).jpeg,665384.0,76114.0,12.2,29.0
3,Arizona,AZ,The Grand Canyon State,https://az.gov,1912.0,48.0,Phoenix,https://www.phoenix.gov,6626624.0,15.0,http://www.azleg.gov/Constitution.asp,//images.code.org/a01d6c606a2e73761205968a0ea47b73-Flag_of_Arizona.svg.png,//images.code.org/85f1a51943caae6bf2dbbcd696859ca7-State_Seal_of_Arizona.svg.png,//images.code.org/2110b0bca3ccde57da64c7fdbdb39c2d-Arizona_in_United_States.svg.png,//images.code.org/7596dbec47135a639fc81738ae18bd34-Canyon_River_Tree_(165872763).jpeg,//images.code.org/f314e9c0b047389cd07e06b82d1a6720-800px-Downtown_Phoenix_Skyline_Lights.jpg,113990.0,53510.0,14.4,28.4
4,Arkansas,AR,The Natural State,http://arkansas.gov,1836.0,25.0,Little Rock,http://www.littlerock.org,2959373.0,32.0,http://www.arkleg.state.ar.us/assembly/Summary/ArkansasConstitution1874.pdf,//images.code.org/32a2fd56d2da446182b1ebbcea701a6b-Flag_of_Arkansas.svg.png,//images.code.org/eda2b64e1bf69924a85a11edc55cb2f0-Seal_of_Arkansas.svg.png,//images.code.org/6a55ba30bea41636c9f4c9fdc5a15274-Arkansas_in_United_States.svg.png,//images.code.org/67d0893083a3b5f11e8944ccff2c023a-800px-Buffalo_national_river_steel_creek_overlook.jpg,//images.code.org/e36119e9cc054824e08cdecc29ba98b8-Downtown_Little_Rock.jpg,53179.0,43813.0,15.5,22.0
5,California,CA,Golden State,http://www.ca.gov,1850.0,31.0,Sacramento,http://www.cityofsacramento.org,38332521.0,1.0,http://www.leginfo.ca.gov/const-toc.html,//images.code.org/72c106b99a33facc3874a8ee8511a809-Flag_of_California.svg.png,//images.code.org/436448910eb5dae53f789d70a318e9b0-Great_Seal_of_California.svg.png,//images.code.org/81e7b2170720a1e52cb794f3ffbb5de2-800px-California_in_United_States.svg.png,//images.code.org/cd8403edf48d863bd87b2358ea9e79ef-800px-Chimney_Rock_Trail_Point_Reyes_December_2016_panorama_1.jpg,"//images.code.org/93f4ef5a1c4053f0b45c0860c9274ec6-Skyline_of_Los_Angeles,_Downtown_Los_Angeles,_California_13.jpg",163695.0,67169.0,12.5,32.6
6,Colorado,CO,The Centennial State,https://www.colorado.gov,1876.0,38.0,Denver,http://www.denvergov.org,5268367.0,22.0,https://www.colorado.gov/pacific/archives/government,//images.code.org/570018b10f6aee3f3ec84795c41bfa9a-Flag_of_Colorado.svg.png,//images.code.org/136914dd48c441421b43de314d6688d8-Seal_of_Colorado.svg.png,//images.code.org/d07e2b85d74e1f25d598041573e9e90c-800px-Colorado_in_United_States.svg.png,//images.code.org/5435fbd737dc23842f983244bc72ebf6-800px-Maroon_Bells_(11553)a.jpg,//images.code.org/41509da7c39c29b555eddab2c42cfcb2-Denver_skyline (1).jpg,104094.0,65458.0,8.9,39.4
7,Connecticut,CT,Constitution State,http://www.ct.gov,1788.0,5.0,Hartford,http://www.hartford.gov,3596080.0,29.0,http://www.ct.gov/sots/cwp/view.asp?a=3188&q=392288,//images.code.org/b0d57c1d8819f354d9784b614f4f6cb0-Flag_of_Connecticut.svg.png,//images.code.org/762b4353d5605a6359d0421ef63b31b0-Seal_of_Connecticut.svg.png,//images.code.org/d6902cff2d53cb0e1b41de682f071e16-800px-Connecticut_in_United_States.svg.png,//images.code.org/6ea253ed4e9452125dce2c4fbec0d9eb-Connecticut_River_From_Gillette_Castle.jpg,//images.code.org/3e81c8146a647d95ec81624d11decdd8-Hartford_Skyline_from_Great_River_Park_(Cropped).jpg,5543.0,73781.0,9.9,38.4
8,Delaware,DE,The First State / The Diamond State,http://delaware.gov,1787.0,1.0,Dover,http://www.cityofdover.com,925749.0,45.0,http://www.state.de.us/facts/constit/welcome.htm,//images.code.org/be586688820cb9e2027dbded313800c7-Flag_of_Delaware.svg.png,//images.code.org/370116c4445bf4dacdd54b3791590c04-Seal_of_Delaware.svg.png,//images.code.org/003079c8c84ac02e7fd2e15dc20e34ab-800px-Delaware_in_United_States.svg.png,//images.code.org/06554b77169b06afb5e20071918ff628-Delaware_Seashore_State_Park_DE2.jpg,//images.code.org/dcdebaae0006768557756bd5888cb031-800px-Wilmington_Delaware_skyline.jpg,2489.0,63036.0,9.6,31.0
9,Florida,FL,Sunshine State,http://www.myflorida.com,1845.0,27.0,Tallahassee,https://www.talgov.com/Main/Home.aspx,19552860.0,4.0,http://www.leg.state.fl.us/Statutes/index.cfm,//images.code.org/c1e4987b9d1606d680802fd9b5ae5f82-Flag_of_Florida.svg.png,//images.code.org/cb42beb523d7c1eb4d0593f660db6063-Seal_of_Florida.svg.png,//images.code.org/8c87418ba8a62882cdf1eddeedeb201e-Florida_in_United_States.svg.png,//images.code.org/fae339a42a4457326b0fe2363ab3ece0-Lake_Cane_At_Sunrise_Orlando_Florida_Landscape_Photography_(190809939).jpeg,//images.code.org/e8cfdfdf114a227bafc91485b9fe6f19-800px-Miami-skyline-for-wikipedia-07-11-2007-by-tom-schaefer-miamitom.jpg,65758.0,50883.0,13.6,28.5
10,Georgia,GA,Peach State,http://georgia.gov,1788.0,4.0,Atlanta,http://www.atlantaga.gov,9992167.0,8.0,http://sos.ga.gov/admin/files/Constitution_2013_Final_Printed.pdf,//images.code.org/95c96d418c1d8e40d105bf03f40d282e-Flag_of_Georgia_(U.S._state).svg.png,//images.code.org/2d121eeb0ec24b39a23a50ffcb4e56f8-Seal_of_Georgia.svg.png,//images.code.org/871fd2fdc8b317697056a1df7234b9ac-800px-Georgia_in_United_States.svg.png,//images.code.org/8dbaa48c53baaccc9962875dcef61964-800px-Taxodium_ascendens_Okefenokee_5.jpg,//images.code.org/45f386b1801aad32572e09bec6ef90ee-Atlanta_Skyline_from_Buckhead.jpg,59425.0,52977.0,14.7,29.9
