id,Position,Track Name,Artist
1,1,Makeba,Jain
2,2,Wild Uncharted Waters,Jonah Hauer-King
3,3,Need 2,Pinegrove
4,4,Paper Soldier,d3puu
5,5,Your face,Wisp
6,6,The Scuttlebutt,Awkwafina
7,7,Blame Brett,The Beaches
8,8,Padam Padam,Kylie Minogue
9,9,The Lost Soul Down,NBSPLV
10,10,Point Me To The Slut's,Fendi
11,11,LOOK DON’T TOUCH (feat. cade clair),Odetari
12,12,All My Life (feat. J. Cole),Lil Durk
13,13,WHERE SHE GOES,Bad Bunny
14,14,"Part of Your World - From ""The Little Mermaid""",Halle
15,15,Red Wine Supernova,Chappell Roan
16,16,Take Me Back To Eden,Sleep Token
17,17,Ella Baila Sola,Eslabon Armado
18,18,Area Codes,Kali
19,19,"To Summer, From Cole - Audio Hug",Summer Walker
20,20,Giving Me,Jazzy
21,21,GOOD LOYAL THOTS,Odetari
22,22,Bite Me,ENHYPEN
23,23,Little Girl Gone,CHINCHILLA
24,24,Past Lives,Farizki
25,25,Say Yes To Heaven,Lana Del Rey
26,26,TQM,Fuerza Regida
27,27,Jericho,Iniko
28,28,"Eve, Psyche & The Bluebeard’s wife",LE SSERAFIM
29,29,Queencard,(G)I-DLE
30,30,For the First Time,Halle
31,31,Poor Unfortunate Souls,Melissa McCarthy
32,32,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Beyoncé
33,33,Rain,Sleep Token
34,34,Hits Different,Taylor Swift
35,35,Heart Racing,Kanii
36,36,Ascensionism,Sleep Token
37,37,Part of Your World (Reprise II),Halle
38,38,Save Me (with Lainey Wilson),Jelly Roll
39,39,I Know You,Faye Webster
40,40,From The Start,Laufey
41,41,un x100to,Grupo Frontera
42,42,Sunshine Baby,The Japanese House
43,43,アイドル,YOASOBI
44,44,Na Na Na,Lay Bankz
45,45,Abcdario,Eden Muñoz
46,46,Ms. Poli Sci,Paul Russell
47,47,Bonus - Favorite Song (feat. Future) [Toxic Version],Toosii
48,48,What's Up Danger (with Black Caviar),Blackway
49,49,Fast Car,Luke Combs
50,50,MATHEMATICAL DISRESPECT,Lil Mabu
