id,Position,Track Name,Artist
1,1,Obsessed,Riar Saab
2,2,MONTAGEM - PR FUNK,S3BZS
3,3,Makeba,Jain
4,4,Kepada Noor,Panji Sakti
5,5,Tere Vaaste,Varun Jain
6,6,Džanum,Teya Dora
7,7,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Sachin-Jigar
8,8,MONTAGEM - PR FUNK (Slowed & Reveerb),S3BZS
9,9,Need 2,Pinegrove
10,10,The Scuttlebutt,Awkwafina
11,11,"Part of Your World - From ""The Little Mermaid""",Halle
12,12,Tá OK,DENNIS
13,13,Celladına Aşık,Kubilay Karça
14,14,LDR - Sped Up,Shoti
15,15,The Lost Soul Down,NBSPLV
16,16,Mädchen auf dem Pferd,Luca-Dante Spadafora
17,17,Smooth Operator - Deep House Version,Musique Boutique
18,18,Khayaal,Talwiinder
19,19,Born To Be Alive,Bea and her Business
20,20,close with desires (right person wrong timing),teo glacier
21,21,Talibans,Byron Messia
22,22,California Love,Cheema Y
23,23,รักแรก (First Love) - เพลงประกอบภาพยนตร์ รักแรกโคตรลืมยาก My Precious,NONT TANONT
24,24,Trauma,Elsya
25,25,Sequência da Dz7,TRASHXRL
26,26,Ela Voltou de Perna Bamba,MC Guh SR
27,27,WHERE SHE GOES,Bad Bunny
28,28,Say Yes To Heaven,Lana Del Rey
29,29,Bite Me,ENHYPEN
30,30,All My Life (feat. J. Cole),Lil Durk
31,31,Queencard,(G)I-DLE
32,32,LOOK DON’T TOUCH (feat. cade clair),Odetari
33,33,Novo Balanço,Veigh
34,34,All Eyez on Me Remix,Thug Life
35,35,GOOD LOYAL THOTS,Odetari
36,36,Padam Padam,Kylie Minogue
37,37,"Supermoce (feat. Igo, Mrozu & Vito Bambino)",Męskie Granie Orkiestra 2023
38,38,What It Is (Solo Version),Doechii
39,39,Good Love,Hannah Laing
40,40,What's Up Danger (with Black Caviar),Blackway
41,41,Daylight,David Kushner
42,42,Area Codes,Kali
43,43,Engana Dizendo Que Ama,Veigh
44,44,seasons,wave to earth
45,45,"Eve, Psyche & The Bluebeard’s wife",LE SSERAFIM
46,46,Still Rollin,Shubh
47,47,Past Lives,Farizki
48,48,Nanti Kita Seperti Ini,Batas Senja
49,49,GENTO,SB19
50,50,Jericho,Iniko
