id,Rank,Code,Country,Score,Electoral process and pluralism,Functioning of government,Political partici­pation,Political culture,Civil liberties,Regime type,Region
1,1,NOR,Norway,10,10,10,10,10,10,Full democracy,Western Europe
2,2,ISL,Iceland,10,10,9,9,10,10,Full democracy,Western Europe
3,3,SWE,Sweden,9,10,10,8,10,9,Full democracy,Western Europe
4,4,NZL,New Zealand,9,10,9,9,8,10,Full democracy,Asia & Australasia
5,5,FIN,Finland,9,10,9,9,9,10,Full democracy,Western Europe
6,6,IRL,Ireland,9,10,8,8,10,10,Full democracy,Western Europe
7,7,DNK,Denmark,9,10,9,8,9,9,Full democracy,Western Europe
8,7,CAN,Canada,9,10,10,8,9,10,Full democracy,North America
9,9,AUS,Australia,9,10,9,8,9,10,Full democracy,Asia & Australasia
10,10,CHE,Switzerland,9,10,9,8,9,9,Full democracy,Western Europe
11,11,NLD,Netherlands,9,10,9,8,9,9,Full democracy,Western Europe
12,12,LUX,Luxembourg,9,10,9,7,9,10,Full democracy,Western Europe
13,13,DEU,Germany,9,10,9,8,8,9,Full democracy,Western Europe
14,14,GBR,United Kingdom,9,10,8,9,8,9,Full democracy,Western Europe
15,15,URY,Uruguay,8,10,9,6,8,10,Full democracy,Latin America
16,16,AUT,Austria,8,10,8,8,7,9,Full democracy,Western Europe
17,16,ESP,Spain,8,10,7,8,8,9,Full democracy,Western Europe
18,18,MUS,Mauritius,8,9,8,6,9,9,Full democracy,Sub-Saharan Africa
19,19,CRI,Costa Rica,8,10,8,7,8,9,Full democracy,Latin America
20,20,FRA,France,8,10,8,8,7,9,Full democracy,Western Europe
21,21,CHL,Chile,8,10,9,5,8,9,Full democracy,Latin America
22,22,PRT,Portugal,8,10,8,6,8,9,Full democracy,Western Europe
23,23,KOR,South Korea,8,9,8,7,8,8,Flawed democracy,Asia & Australasia
24,24,JPN,Japan,8,9,8,7,8,9,Flawed democracy,Asia & Australasia
25,25,USA,United States,8,9,7,8,8,8,Flawed democracy,North America
26,26,MLT,Malta,8,9,8,6,8,9,Flawed democracy,Western Europe
27,27,EST,Estonia,8,10,8,7,7,9,Flawed democracy,Eastern Europe
28,28,ISR,Israel,8,9,8,9,8,6,Flawed democracy,Middle East & North Africa
29,29,BWA,Botswana,8,9,7,6,8,9,Flawed democracy,Sub-Saharan Africa
30,30,CPV,Cape Verde,8,9,7,7,7,9,Flawed democracy,Sub-Saharan Africa
33,33,BEL,Belgium,8,10,8,5,7,9,Flawed democracy,Western Europe
34,34,CYP,Cyprus,8,9,6,7,7,9,Flawed democracy,Western Europe
35,35,ITA,Italy,8,10,6,8,6,8,Flawed democracy,Western Europe
36,36,SVN,Slovenia,8,10,7,7,6,8,Flawed democracy,Eastern Europe
37,36,LTU,Lithuania,8,10,6,6,6,9,Flawed democracy,Eastern Europe
38,38,LVA,Latvia,7,10,6,6,7,9,Flawed democracy,Eastern Europe
39,39,GRC,Greece,7,10,5,7,8,9,Flawed democracy,Western Europe
40,40,ZAF,South Africa,7,7,8,8,5,8,Flawed democracy,Sub-Saharan Africa
42,42,SVK,Slovakia,7,10,7,6,6,8,Flawed democracy,Eastern Europe
43,43,MYS,Malaysia,7,9,8,7,6,6,Flawed democracy,Asia & Australasia
44,43,TTO,Trinidad and Tobago,7,10,7,6,6,7,Flawed democracy,Latin America
45,45,COL,Colombia,7,9,7,6,6,9,Flawed democracy,Latin America
46,46,PAN,Panama,7,10,6,7,5,8,Flawed democracy,Latin America
47,47,BGR,Bulgaria,7,9,6,7,4,8,Flawed democracy,Eastern Europe
48,48,ARG,Argentina,7,9,5,6,6,8,Flawed democracy,Latin America
49,49,SUR,Suriname,7,9,6,7,5,8,Flawed democracy,Latin America
50,50,JAM,Jamaica,7,9,7,4,6,8,Flawed democracy,Latin America
51,51,IND,India,7,9,7,7,6,7,Flawed democracy,Asia & Australasia
