Year,State Name,SEA Education Environment,SEA Disability Category,Age 5 (School Age)-11,Age 12-17,Age 18-21,Age 5 (School Age)-21
2021,Alabama,Correctional Facilities,All Disabilities,0,12,0,12
2021,Alabama,Home,All Disabilities,-,-,-,-
2021,Alabama,Homebound/Hospital,All Disabilities,120,144,42,306
2021,Alabama,Inside regular class 40% through 79% of the day,All Disabilities,2838,2465,384,5687
2021,Alabama,Inside regular class 80% or more of the day,All Disabilities,38164,34784,3022,75970
2021,Alabama,Inside regular class less than 40% of the day,All Disabilities,3173,2779,746,6698
2021,Alabama,Parentally Placed in Private Schools,All Disabilities,355,27,1,383
2021,Alabama,"Residential Facility, Early Childhood",All Disabilities,-,-,-,-
2021,Alabama,"Residential Facility, School Age",All Disabilities,65,348,94,507
2021,Alabama,Separate Class,All Disabilities,-,-,-,-
2021,Alabama,"Separate School, Early Childhood",All Disabilities,-,-,-,-
2021,Alabama,"Separate School, School Age",All Disabilities,378,531,171,1080
2021,Alabama,Service Provider Location,All Disabilities,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),All Disabilities,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),All Disabilities,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend at least 10 hours),All Disabilities,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend less than 10 hours),All Disabilities,-,-,-,-
2021,Alabama,"Total, Early Childhood",All Disabilities,-,-,-,-
2021,Alabama,"Total, School Age",All Disabilities,45093,41090,4460,90643
2021,Alabama,Correctional Facilities,Autism,0,0,0,0
2021,Alabama,Home,Autism,-,-,-,-
2021,Alabama,Homebound/Hospital,Autism,12,16,7,35
2021,Alabama,Inside regular class 40% through 79% of the day,Autism,723,452,85,1260
2021,Alabama,Inside regular class 80% or more of the day,Autism,2670,2487,210,5367
2021,Alabama,Inside regular class less than 40% of the day,Autism,1224,812,194,2230
2021,Alabama,Parentally Placed in Private Schools,Autism,11,2,0,13
2021,Alabama,"Residential Facility, Early Childhood",Autism,-,-,-,-
2021,Alabama,"Residential Facility, School Age",Autism,2,25,21,48
2021,Alabama,Separate Class,Autism,-,-,-,-
2021,Alabama,"Separate School, Early Childhood",Autism,-,-,-,-
2021,Alabama,"Separate School, School Age",Autism,66,90,15,171
2021,Alabama,Service Provider Location,Autism,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),Autism,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),Autism,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend at least 10 hours),Autism,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend less than 10 hours),Autism,-,-,-,-
2021,Alabama,"Total, Early Childhood",Autism,-,-,-,-
2021,Alabama,"Total, School Age",Autism,4708,3884,532,9124
2021,Alabama,Correctional Facilities,Deaf-blindness,0,0,0,0
2021,Alabama,Home,Deaf-blindness,-,-,-,-
2021,Alabama,Homebound/Hospital,Deaf-blindness,0,0,0,0
2021,Alabama,Inside regular class 40% through 79% of the day,Deaf-blindness,1,2,0,3
2021,Alabama,Inside regular class 80% or more of the day,Deaf-blindness,1,5,0,6
2021,Alabama,Inside regular class less than 40% of the day,Deaf-blindness,1,2,0,3
2021,Alabama,Parentally Placed in Private Schools,Deaf-blindness,0,0,0,0
2021,Alabama,"Residential Facility, Early Childhood",Deaf-blindness,-,-,-,-
2021,Alabama,"Residential Facility, School Age",Deaf-blindness,0,0,0,0
2021,Alabama,Separate Class,Deaf-blindness,-,-,-,-
2021,Alabama,"Separate School, Early Childhood",Deaf-blindness,-,-,-,-
2021,Alabama,"Separate School, School Age",Deaf-blindness,1,0,1,2
2021,Alabama,Service Provider Location,Deaf-blindness,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),Deaf-blindness,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),Deaf-blindness,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend at least 10 hours),Deaf-blindness,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend less than 10 hours),Deaf-blindness,-,-,-,-
2021,Alabama,"Total, Early Childhood",Deaf-blindness,-,-,-,-
2021,Alabama,"Total, School Age",Deaf-blindness,4,9,1,14
2021,Alabama,Correctional Facilities,Developmental delay,0,-,-,0
2021,Alabama,Home,Developmental delay,-,-,-,-
2021,Alabama,Homebound/Hospital,Developmental delay,19,-,-,19
2021,Alabama,Inside regular class 40% through 79% of the day,Developmental delay,532,-,-,532
2021,Alabama,Inside regular class 80% or more of the day,Developmental delay,2752,-,-,2752
2021,Alabama,Inside regular class less than 40% of the day,Developmental delay,658,-,-,658
2021,Alabama,Parentally Placed in Private Schools,Developmental delay,9,-,-,9
2021,Alabama,"Residential Facility, Early Childhood",Developmental delay,-,-,-,-
2021,Alabama,"Residential Facility, School Age",Developmental delay,4,-,-,4
2021,Alabama,Separate Class,Developmental delay,-,-,-,-
2021,Alabama,"Separate School, Early Childhood",Developmental delay,-,-,-,-
2021,Alabama,"Separate School, School Age",Developmental delay,53,-,-,53
2021,Alabama,Service Provider Location,Developmental delay,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),Developmental delay,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),Developmental delay,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend at least 10 hours),Developmental delay,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend less than 10 hours),Developmental delay,-,-,-,-
2021,Alabama,"Total, Early Childhood",Developmental delay,-,-,-,-
2021,Alabama,"Total, School Age",Developmental delay,4027,-,-,4027
2021,Alabama,Correctional Facilities,Emotional disturbance,0,3,0,3
2021,Alabama,Home,Emotional disturbance,-,-,-,-
2021,Alabama,Homebound/Hospital,Emotional disturbance,3,13,3,19
2021,Alabama,Inside regular class 40% through 79% of the day,Emotional disturbance,40,59,5,104
2021,Alabama,Inside regular class 80% or more of the day,Emotional disturbance,227,581,37,845
2021,Alabama,Inside regular class less than 40% of the day,Emotional disturbance,26,74,3,103
2021,Alabama,Parentally Placed in Private Schools,Emotional disturbance,0,0,0,0
2021,Alabama,"Residential Facility, Early Childhood",Emotional disturbance,-,-,-,-
2021,Alabama,"Residential Facility, School Age",Emotional disturbance,6,47,4,57
2021,Alabama,Separate Class,Emotional disturbance,-,-,-,-
2021,Alabama,"Separate School, Early Childhood",Emotional disturbance,-,-,-,-
2021,Alabama,"Separate School, School Age",Emotional disturbance,19,43,4,66
2021,Alabama,Service Provider Location,Emotional disturbance,-,-,-,-
