Year,State Name,SEA Education Environment,SEA Disability Category,Age 5 (School Age)-11,Age 12-17,Age 18-21,Age 5 (School Age)-21
2021,Florida,Inside regular class 80% or more of the day,Autism,10328,9939,865,21132
2021,Florida,Inside regular class 80% or more of the day,Deaf-blindness,12,16,0,28
2021,Florida,Inside regular class 80% or more of the day,Developmental delay,4797,-,-,4797
2021,Florida,Inside regular class 80% or more of the day,Emotional disturbance,1578,4219,429,6226
2021,Florida,Inside regular class 80% or more of the day,Hearing impairment,1229,1461,138,2828
2021,Florida,Inside regular class 80% or more of the day,Intellectual disability,1106,1505,433,3044
2021,Florida,Inside regular class 80% or more of the day,Multiple disabilities,-,-,-,-
2021,Florida,Inside regular class 80% or more of the day,Orthopedic impairment,562,632,68,1262
2021,Florida,Inside regular class 80% or more of the day,Other health impairment,16820,24117,1783,42720
2021,Florida,Inside regular class 80% or more of the day,Specific learning disability,50055,88974,8361,147390
2021,Florida,Inside regular class 80% or more of the day,Speech or language impairment,65278,15089,984,81351
2021,Florida,Inside regular class 80% or more of the day,Traumatic brain injury,62,132,27,221
2021,Florida,Inside regular class 80% or more of the day,Visual impairment,425,490,34,949
