Entity,Code,Year,Annual CO2 per capita,GDP per capita,Total CO2,Population
Afghanistan,AFG,2018,0.29487586,1934.555,10818048.16,36686788
Albania,ALB,2018,1.7323643,11104.166,4984045.006,2877019
Algeria,DZA,2018,4.1479607,14228.025,173911581.5,41927008
Angola,AGO,2018,0.72839534,7771.442,22779499.34,31273538
Argentina,ARG,2018,4.0663075,18556.383,180599322.3,44413592
Armenia,ARM,2018,2.0538187,11454.425,5825786.133,2836563
Australia,AUS,2018,16.6652,49830.8,416283830.5,24979228
Austria,AUT,2018,7.528652,42988.07,66557183.52,8840518
Azerbaijan,AZE,2018,3.4056375,16628.055,34575816.45,10152524
Bahrain,BHR,2018,22.044058,39498.766,32787141.49,1487346
Bangladesh,BGD,2018,0.5039817,4099.253,82493716.39,163683952
Barbados,BRB,2018,4.6007786,11995.187,1286846.976,279702
Belarus,BLR,2018,6.4044,18727.318,62094327.72,9695573
Belgium,BEL,2018,8.723656,39756.203,99873630.63,11448598
Benin,BEN,2018,0.6226188,2220.1765,7434496.834,11940688
Bolivia,BOL,2018,2.050414,6695.7744,23798962.56,11606906
Bosnia and Herzegovina,BIH,2018,6.4924054,10460.5205,22075035.36,3400132
Botswana,BWA,2018,3.0612,15842.13,7504259.353,2451411
Brazil,BRA,2018,2.2701142,14033.565,477102164.9,210166592
Bulgaria,BGR,2018,6.128069,18444.26,43616065.37,7117424
Burkina Faso,BFA,2018,0.24262862,1589.6241,4947859.938,20392730
Burundi,BDI,2018,0.05949706,651.3589,683828.0312,11493476
Cambodia,KHM,2018,0.89784485,3628.561,14388181,16025242
Cameroon,CMR,2018,0.38417488,2888.046,9633858.19,25076752
Canada,CAN,2018,15.778724,44868.742,584369145.8,37035260
Cape Verde,CPV,2018,1.0198998,6831.216,582575.9449,571209
Central African Republic,CAF,2018,0.043149922,623.4889,219840.0069,5094795
Chad,TCD,2018,0.12860341,2046.3632,2006755.002,15604213
Chile,CHL,2018,4.5166917,22104.766,84468693.03,18701452
China,CHN,2018,7.306542,13101.706,10353877380,1417069440
Colombia,COL,2018,1.6727245,13545.05,82426791.66,49276968
Comoros,COM,2018,0.37757528,1724.4207,293119.9965,776322
Congo,COG,2018,1.2123058,5714.592,6596229.808,5441061
Costa Rica,CRI,2018,1.6325939,14686.254,8229478.11,5040738
Cote d'Ivoire,CIV,2018,0.40607384,3713.6436,10352442.42,25493990
Croatia,HRV,2018,4.2601137,22012.314,17724151.93,4160488
Cuba,CUB,2018,1.997767,8325.631,22631190.03,11328243
Cyprus,CYP,2018,6.024238,27184.416,7342546.098,1218834
Czechia,CZE,2018,10.094166,30748.508,106337981,10534598
Democratic Republic of Congo,COD,2018,0.028385177,859.3817,2471989.901,87087352
Denmark,DNK,2018,6.021649,46312.344,34724977.05,5766689
Djibouti,DJI,2018,0.36402908,3295.6814,384852.9995,1057204
Dominica,DMA,2018,2.2757764,9021.174,161216.0002,70840
Dominican Republic,DOM,2018,2.3924725,15912.399,25756239.26,10765532
Ecuador,ECU,2018,2.2476408,10638.825,38245118.63,17015672
Egypt,EGY,2018,2.3511283,11957.212,243907855.5,103740768
El Salvador,SLV,2018,1.0212243,8598.198,6409550.923,6276340
Equatorial Guinea,GNQ,2018,4.000029,28528.953,6008451.561,1502102
Estonia,EST,2018,13.565124,27408.664,17935074.44,1322146
Eswatini,SWZ,2018,0.89040095,8068.212,1033247.974,1160430
Ethiopia,ETH,2018,0.14224885,1838.4904,15808035.04,111129440
Finland,FIN,2018,8.303282,38896.7,45796461.26,5515465
France,FRA,2018,5.0177007,38515.918,322526822.3,64277812
Gabon,GAB,2018,2.7335813,17613.557,5992045.746,2192013
Gambia,GMB,2018,0.24277644,1882.2399,593568.0026,2444916
Georgia,GEO,2018,2.6674635,11984.905,10062533.91,3772323
Germany,DEU,2018,9.100585,46177.617,754408428.2,82896696
Ghana,GHA,2018,0.55408466,4267.067,17104952.5,30870648
Greece,GRC,2018,6.7506948,23450.766,71781994.25,10633275
Guatemala,GTM,2018,1.1092327,7402.1147,18690766.22,16850176
Guinea,GIN,2018,0.29358995,1606.4666,3685983.949,12554871
Guinea-Bissau,GNB,2018,0.16179088,1501.4136,311440.0016,1924954
Haiti,HTI,2018,0.30614442,1729.0432,3371393.077,11012427
Honduras,HND,2018,1.0069852,5041.6353,9861259.044,9792854
Hong Kong,HKG,2018,5.6940813,50839.37,42600627.97,7481563
Hungary,HUN,2018,5.059481,25622.812,49463312.73,9776361
Iceland,ISL,2018,10.366745,43438.543,3658953.014,352951
India,IND,2018,1.8995181,6806.4985,2600446479,1369003264
Indonesia,IDN,2018,2.260322,11851.737,603657072,267066848
Iran,IRN,2018,8.186843,17011.305,700937521.8,85617560
Iraq,IRQ,2018,5.258127,12835.8125,213431055.6,40590700
Ireland,IRL,2018,8.069567,64684.3,39012370.08,4834506
Israel,ISR,2018,7.125526,32954.77,60256917.99,8456487
Italy,ITA,2018,5.828657,34364.168,349005013.2,59877432
Jamaica,JAM,2018,2.8758495,7272.9805,8086434.41,2811842
Japan,JPN,2018,9.056306,38673.81,1143411811,126255872
