Year-Month,InflationRate,InterestRate,year,month
January 2016,1.37,0.38,January,2016
February 2016,1.39,0.37,February,2016
March 2016,1.49,0.37,March,2016
April 2016,1.56,0.37,April,2016
May 2016,1.6,0.37,May,2016
June 2016,1.6,0.38,June,2016
July 2016,1.61,0.39,July,2016
August 2016,1.62,0.4,August,2016
September 2016,1.62,0.4,September,2016
October 2016,1.63,0.4,October,2016
November 2016,1.64,0.41,November,2016
December 2016,1.65,0.54,December,2016
January 2017,2.5,0.66,January,2017
February 2017,2.73,0.66,February,2017
March 2017,2.38,0.79,March,2017
April 2017,2.2,0.79,April,2017
May 2017,1.87,0.91,May,2017
June 2017,1.63,0.91,June,2017
July 2017,1.69,1.04,July,2017
August 2017,1.88,1.16,August,2017
September 2017,2.23,1.16,September,2017
October 2017,2.04,1.04,October,2017
November 2017,2.2,1.04,November,2017
December 2017,2.11,1.16,December,2017
January 2018,2.07,1.41,January,2018
February 2018,2.21,1.41,February,2018
March 2018,2.36,1.63,March,2018
April 2018,2.49,1.63,April,2018
May 2018,2.77,1.83,May,2018
June 2018,2.87,1.83,June,2018
July 2018,2.95,1.91,July,2018
August 2018,2.68,1.91,August,2018
September 2018,2.28,1.91,September,2018
October 2018,2.53,2.04,October,2018
November 2018,2.18,2.04,November,2018
December 2018,1.91,2.27,December,2018
January 2019,1.57,2.4,January,2019
February 2019,1.52,2.4,February,2019
March 2019,1.86,2.4,March,2019
April 2019,2,2.4,April,2019
May 2019,1.79,2.4,May,2019
June 2019,1.65,2.4,June,2019
July 2019,1.81,2.4,July,2019
August 2019,1.75,2.13,August,2019
September 2019,1.71,2.03,September,2019
October 2019,1.77,1.83,October,2019
November 2019,2.05,1.68,November,2019
December 2019,2.29,1.68,December,2019
January 2020,2.49,1.53,January,2020
February 2020,2.33,1.53,February,2020
March 2020,1.47,1.37,March,2020
April 2020,0.33,0.1,April,2020
May 2020,0.12,0.1,May,2020
June 2020,0.66,0.09,June,2020
July 2020,1,0.09,July,2020
August 2020,1.31,0.09,August,2020
September 2020,1.37,0.09,September,2020
October 2020,1.18,0.09,October,2020
November 2020,1.17,0.08,November,2020
December 2020,1.23,0.08,December,2020
