mo_y,InflationRate,InterestRate,month,year,mo,y_mo
Jan-2016,0.000,0.005,Jan,2016,1,2016.1
Feb-2016,0.001,0.005,Feb,2016,2,2016.2
Mar-2016,0.002,0.005,Mar,2016,3,2016.3
Apr-2016,0.003,0.005,Apr,2016,4,2016.4
May-2016,0.004,0.005,May,2016,5,2016.5
Jun-2016,0.005,0.005,Jun,2016,6,2016.6
Jul-2016,0.006,0.005,Jul,2016,7,2016.7
Aug-2016,0.007,0.005,Aug,2016,8,2016.8
Sep-2016,0.008,0.005,Sep,2016,9,2016.9
Oct-2016,0.009,0.005,Oct,2016,10,2016.10
Nov-2016,0.010,0.005,Nov,2016,11,2016.11
Dec-2016,0.011,0.005,Dec,2016,12,2016.12
Jan-2017,0.012,0.008,Jan,2017,1,2017.1
Feb-2017,0.013,0.008,Feb,2017,2,2017.2
Mar-2017,0.014,0.008,Mar,2017,3,2017.3
Apr-2017,0.015,0.008,Apr,2017,4,2017.4
May-2017,0.016,0.008,May,2017,5,2017.5
Jun-2017,0.017,0.008,Jun,2017,6,2017.6
Jul-2017,0.018,0.008,Jul,2017,7,2017.7
Aug-2017,0.019,0.010,Aug,2017,8,2017.8
Sep-2017,0.020,0.010,Sep,2017,9,2017.9
Oct-2017,0.021,0.010,Oct,2017,10,2017.10
Nov-2017,0.022,0.010,Nov,2017,11,2017.11
Dec-2017,0.023,0.010,Dec,2017,12,2017.12
Jan-2018,0.019,0.008,Jan,2018,1,2018.1
Feb-2018,0.020,0.008,Feb,2018,2,2018.2
Mar-2018,0.021,0.008,Mar,2018,3,2018.3
Apr-2018,0.022,0.008,Apr,2018,4,2018.4
May-2018,0.023,0.008,May,2018,5,2018.5
Jun-2018,0.024,0.008,Jun,2018,6,2018.6
Jul-2018,0.025,0.008,Jul,2018,7,2018.7
Aug-2018,0.026,0.008,Aug,2018,8,2018.8
Sep-2018,0.027,0.008,Sep,2018,9,2018.9
Oct-2018,0.028,0.008,Oct,2018,10,2018.10
Nov-2018,0.029,0.008,Nov,2018,11,2018.11
Dec-2018,0.030,0.008,Dec,2018,12,2018.12
Jan-2019,0.016,0.010,Jan,2019,1,2019.1
Feb-2019,0.017,0.010,Feb,2019,2,2019.2
Mar-2019,0.018,0.010,Mar,2019,3,2019.3
Apr-2019,0.019,0.010,Apr,2019,4,2019.4
May-2019,0.020,0.010,May,2019,5,2019.5
Jun-2019,0.021,0.010,Jun,2019,6,2019.6
Jul-2019,0.022,0.010,Jul,2019,7,2019.7
Aug-2019,0.023,0.010,Aug,2019,8,2019.8
Sep-2019,0.024,0.013,Sep,2019,9,2019.9
Oct-2019,0.025,0.013,Oct,2019,10,2019.10
Nov-2019,0.026,0.013,Nov,2019,11,2019.11
Dec-2019,0.027,0.013,Dec,2019,12,2019.12
Jan-2020,0.028,0.013,Jan,2020,1,2020.1
Feb-2020,0.029,0.013,Feb,2020,2,2020.2
Mar-2020,0.030,0.013,Mar,2020,3,2020.3
Apr-2020,0.031,0.013,Apr,2020,4,2020.4
May-2020,0.032,0.013,May,2020,5,2020.5
Jun-2020,0.033,0.013,Jun,2020,6,2020.6
Jul-2020,0.034,0.013,Jul,2020,7,2020.7
Aug-2020,0.035,0.013,Aug,2020,8,2020.8
Sep-2020,0.035,0.013,Sep,2020,9,2020.9
Oct-2020,0.036,0.013,Oct,2020,10,2020.10
Nov-2020,0.037,0.013,Nov,2020,11,2020.11
Dec-2020,0.038,0.013,Dec,2020,12,2020.12
Jan-2021,0.039,0.013,Jan,2021,1,2021.1
Feb-2021,0.040,0.013,Feb,2021,2,2021.2
Mar-2021,0.041,0.013,Mar,2021,3,2021.3
Apr-2021,0.042,0.013,Apr,2021,4,2021.4
May-2021,0.043,0.013,May,2021,5,2021.5
Jun-2021,0.044,0.013,Jun,2021,6,2021.6
Jul-2021,0.045,0.013,Jul,2021,7,2021.7
Aug-2021,0.046,0.013,Aug,2021,8,2021.8
Sep-2021,0.047,0.015,Sep,2021,9,2021.9
Oct-2021,0.048,0.015,Oct,2021,10,2021.10
Nov-2021,0.049,0.015,Nov,2021,11,2021.11
Dec-2021,0.050,0.015,Dec,2021,12,2021.12
Jan-2022,0.051,0.018,Jan,2022,1,2022.1
Feb-2022,0.052,0.018,Feb,2022,2,2022.2
Mar-2022,0.053,0.018,Mar,2022,3,2022.3
Apr-2022,0.054,0.020,Apr,2022,4,2022.4
May-2022,0.055,0.020,May,2022,5,2022.5
Jun-2022,0.056,0.020,Jun,2022,6,2022.6
Jul-2022,0.057,0.020,Jul,2022,7,2022.7
Aug-2022,0.058,0.020,Aug,2022,8,2022.8
Sep-2022,0.059,0.020,Sep,2022,9,2022.9
Oct-2022,0.058,0.020,Oct,2022,10,2022.10
Nov-2022,0.059,0.020,Nov,2022,11,2022.11
Dec-2022,0.060,0.023,Dec,2022,12,2022.12
Jan-2023,0.061,0.023,Jan,2023,1,2023.1
Feb-2023,0.062,0.023,Feb,2023,2,2023.2
Mar-2023,0.063,0.025,Mar,2023,3,2023.3
Apr-2023,0.064,0.025,Apr,2023,4,2023.4
May-2023,0.065,0.025,May,2023,5,2023.5
Jun-2023,0.066,0.025,Jun,2023,6,2023.6
Jul-2023,0.067,0.025,Jul,2023,7,2023.7
Aug-2023,0.068,0.025,Aug,2023,8,2023.8
