PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr
Kepler-131 b,0,0.05074,0.219624,16.092,,,,,,,,,transit,2014,14/02/24,19 14 07,+40 56 32,226.3,1.02,1.03,0.12,5685,3.66
Kepler-131 c,0,0.025952,0.076549,25.5169,,,,,,,,,transit,2014,14/02/24,19 14 07,+40 56 32,226.3,1.02,1.03,0.12,5685,3.66
HD 114729 A b,2,0.84,,1135,2.08,0.32,,,,,,,RV,2002,12/12/08,13 12 44,-31 52 24,35,0.93,1.46,-0.22,,6
CoRoT-24 b,0,,0.33,5.1134,0.056,0,,,,86.5,1070,,transit,2014,14/06/08,06 47 41,-03 43 10,600,0.91,0.86,0.3,4950,11
CoRoT-24 c,0,0.088,0.44,11.759,0.098,0,,,,89,850,,transit,2014,14/06/08,06 47 41,-03 43 10,600,0.91,0.86,0.3,4950,11
WASP-108 b,0,0.892,1.284,2.6755463,0.0397,,,,,88.49,1590,,transit,2014,14/10/14,13 03 18.73,-49 38 22.8,220,1.167,1.215,0.05,6000,6.4
Kepler-101 b,0,0.161,0.515,3.4876812,0.0474,0.086,231,,,85.82,,,transit,2014,15/01/27,18 53 01.32,+48 21 18.84,990.44,1.17,1.56,,5667,5.9
Kepler-101 c,0,,0.112,6.02976,0.0684,,,,,84.6,,,transit,2014,15/01/27,18 53 01.32,+48 21 18.84,990.44,1.17,1.56,,5667,5.9
Gliese 86 b,2,3.91,,15.76491,0.113,0.0416,269,,,,,,RV,2000,16/02/03,02 10 25.93425,-50 49 25.4179,10.783,0.8,0.855,-0.24,5188,2.5
HD 145377 b,0,5.76,,103.95,0.45,0.307,138.1,,,,,,RV,2008,15/11/17,16 11 36.44543,-27 04 41.4286,55,1.12,1.14,0.12,6046,1.3
beta Ursae Minoris b,0,6.1,,522.3,1.4,0.19,307.4,,,,,,RV,2014,15/11/26,14 50 42.32580,+74 09 19.8142,40.14,1.4,38.3,-0.27,4126,2.95
Kepler-409 b,0,,0.108445,68.9584,,,,,,,,,transit,2014,14/02/24,19 34 43,+46 51 09,69.2,0.92,0.89,0.08,5460,6.8
Kepler-128 b,0,0.00409,0.10298,15.09,,,,,,,,,transit,2013,16/01/13,18 49 58.128,+43 58 48.64,368.14,1.17,1.55,,6090,4.2
Kepler-128 c,0,0.00472,0.10298,22.804,,,,,,,,,transit,2013,16/01/13,18 49 58.128,+43 58 48.64,368.14,1.17,1.55,,6090,4.2
KOI-1299 b,2,4.87,1.12,52.50097,0.3034,0.535,,,,88.9,,,transit,2014,14/10/14,19 33 07.73,+48 17 09.2,870,1.353,4.16,-0.07,4850,3.5
KOI-1299 c,2,2.43,,406.2,,0.498,60.8,,,,,,RV,2014,15/02/03,19 33 07.73,+48 17 09.2,870,1.353,4.16,-0.07,4850,3.5
HAT-P-56 b,0,2.18,1.466,2.7908327,0.0423,,,,,82.13,1840,,transit,2015,15/06/05,06 43 23.52950,+27 15 08.2182,310.5,1.296,1.428,,6566,2.01
Kepler-44 b,0,1,1.09,3.2467293,0.0446,,,,,84.96,,,transit,2011,15/12/03,20 00 25,+45 45 44,2250,1.12,1.35,0.42,5800,5.8
