Entity,Code,Year,waste to ocean per capita,pop,waste to ocean
Philippines,PHL,2019,3.30,110587187,364513133.19
India,IND,2019,0.09,1392329000,128912025.98
Malaysia,MYS,2019,2.29,33039900,75591568.40
China,CHN,2019,0.05,1411750000,69620390.54
Indonesia,IDN,2019,0.21,277749853,57815891.40
Brazil,BRA,2019,0.18,216210800,38723297.85
Vietnam,VNM,2019,0.29,99460000,29098097.27
Bangladesh,BGD,2019,0.15,169828911,25665053.84
Thailand,THA,2019,0.33,65997236,21617398.15
Nigeria,NGA,2019,0.09,218541000,20270318.29
Turkey,TUR,2019,0.17,85279553,14646658.42
United States,USA,2019,0.01,334825000,2473552.50
Rest of the world,RES,2019,#REF!,#REF!,#REF!
