Date,usdbrl,ibov,Volume
2023-01-02,5.28550005,106376,8130500
2023-01-03,5.360130787,104166,14466700
2023-01-04,5.478499889,105334,14451200
2023-01-05,5.430099964,107518,15512000
2023-01-06,5.34980011,108836,12626600
2023-01-09,5.224400043,109227,12047300
2023-01-10,5.25369978,110912,13697900
2023-01-11,5.198299885,111763,14461400
2023-01-12,5.158500195,111877,19839100
2023-01-13,5.107699871,110916,15939000
2023-01-16,5.080699921,109213,12512400
2023-01-17,5.145999908,111439,14363200
2023-01-18,5.099599838,112452,14128600
2023-01-19,5.185299873,113006,15594300
2023-01-20,5.172999859,112301,15436600
2023-01-23,5.206299782,111709,13701000
2023-01-24,5.205900192,113028,11551500
2023-01-25,5.138400078,114195,11413000
2023-01-26,5.072199821,114109,10920800
2023-01-27,5.062745094,112502,10614500
2023-01-30,5.107200146,111888,11272700
2023-01-31,5.114900112,113532,12900200
2023-02-01,5.072199821,112303,17821500
2023-02-02,5.053500175,109935,15241800
2023-02-03,5.049200058,108490,13235300
2023-02-06,5.149799824,108456,11514600
2023-02-07,5.145699978,107920,12956300
2023-02-08,5.209300041,109882,13837000
2023-02-09,5.199500084,107783,12956000
2023-02-10,5.289500237,108150,14458000
2023-02-13,5.213482857,108846,9973600
2023-02-14,5.158400059,107659,11894600
2023-02-15,5.191500187,109442,15499500
2023-02-16,5.217999935,109905,12995900
2023-02-17,5.216800213,109303,10058400
2023-02-22,5.166500092,107152,9356400
2023-02-23,5.151199818,107720,11459000
2023-02-24,5.136199951,105873,10221100
2023-02-27,5.207799911,105711,9570700
2023-02-28,5.199699879,104932,15672400
2023-03-01,5.235899925,104385,19853000
2023-03-02,5.178299904,103326,14738800
2023-03-03,5.19960022,103866,13101500
2023-03-06,5.194399834,104700,14277800
2023-03-07,5.152200222,104228,12578200
2023-03-08,5.190000057,106540,15904100
2023-03-09,5.14440012,105071,19174300
2023-03-10,5.163700104,103618,17952200
2023-03-13,5.215600014,103121,12993800
2023-03-14,5.245699883,102932,13133800
2023-03-15,5.251699924,102675,15246500
2023-03-16,5.287099838,103435,14385800
2023-03-17,5.229599953,101982,17560000
2023-03-20,5.277800083,100923,0
2023-03-21,5.23570013,100998,9672100
2023-03-22,5.24090004,100221,11504600
2023-03-23,5.236100197,97926,0
2023-03-24,5.296700001,98829,0
2023-03-27,5.245100021,99670,9990600
2023-03-28,5.197100163,101185,13500100
2023-03-29,5.164400101,101793,12456100
2023-03-30,5.134200096,103713,14901600
2023-03-31,5.092700005,101882,15111200
2023-04-03,5.062300205,101506,12794800
2023-04-04,5.063099861,101869,11695800
