state,wage
DC,79960
MA,58540
WA,50450
AK,48820
NY,48800
CT,48720
MD,48460
NJ,48200
CO,47940
CA,47920
RI,47780
HI,47700
MN,47590
VA,47200
NH,46960
ND,46960
OR,46910
VT,46910
DE,46700
IL,46630
WY,45890
MI,45190
WI,45000
PA,44900
ME,42950
OH,39680
AZ,39500
IA,39070
TX,39030
UT,38860
NE,38780
NC,38370
GA,38340
IN,38330
MO,38130
KS,38050
MT,38050
FL,37920
NV,37900
NM,37810
SD,37710
TN,37700
KY,37660
ID,37550
OK,37500
LA,37320
AL,37250
SC,37250
WV,36860
AR,36680
MS,35070
PR,20100
